"REPORTE POR CONTACTO"
Contacto:,"Constructora ABC S.A. de C.V."
Tipo:,Proveedor
Email:,ventas@constructoraabc.com
Teléfono:,"55 9876 5432"
"Tipo de Transacción:",Ingreso
Período:,"hasta el 10/08/2025"
"Generado el:","10/08/2025 19:25:09"

INFORMACIÓN
"El contacto seleccionado no tiene ingresos hasta el 10/08/2025."

"RESUMEN GENERAL"
"Total Ingresos:",$0.00
"Total Egresos:",$0.00
Balance:,$0.00
"Total Transacciones:",0
"Primera Transacción:",N/A
"Última Transacción:",N/A

"DETALLE DE TRANSACCIONES"
"No se encontraron transacciones con los filtros aplicados."
